,ENTRY NUMBER,NAME,TYPES,TOTAL RATING,HP,ATTACK,DEFENSE,SPECIAL ATTACK,SPECIAL DEFENSE,SPEED
0,001,Bulbasaur,"['Grass', 'Poison']",318,45,49,49,65,65,45
1,002,Ivysaur,"['Grass', 'Poison']",405,60,62,63,80,80,60
2,003,Venusaur,"['Grass', 'Poison']",525,80,82,83,100,100,80
3,003,Venusaur,"['Grass', 'Poison']",625,80,100,123,122,120,80
4,004,Charmander,['Fire'],309,39,52,43,60,50,65
5,005,Charmeleon,['Fire'],405,58,64,58,80,65,80
6,006,Charizard,"['Fire', 'Flying']",534,78,84,78,109,85,100
7,006,Charizard,"['Fire', 'Dragon']",634,78,130,111,130,85,100
8,006,Charizard,"['Fire', 'Flying']",634,78,104,78,159,115,100
9,007,Squirtle,['Water'],314,44,48,65,50,64,43
10,008,Wartortle,['Water'],405,59,63,80,65,80,58
11,009,Blastoise,['Water'],530,79,83,100,85,105,78
12,009,Blastoise,['Water'],630,79,103,120,135,115,78
13,010,Caterpie,['Bug'],195,45,30,35,20,20,45
14,011,Metapod,['Bug'],205,50,20,55,25,25,30
15,012,Butterfree,"['Bug', 'Flying']",395,60,45,50,90,80,70
16,013,Weedle,"['Bug', 'Poison']",195,40,35,30,20,20,50
17,014,Kakuna,"['Bug', 'Poison']",205,45,25,50,25,25,35
18,015,Beedrill,"['Bug', 'Poison']",395,65,90,40,45,80,75
19,015,Beedrill,"['Bug', 'Poison']",495,65,150,40,15,80,145
20,016,Pidgey,"['Normal', 'Flying']",251,40,45,40,35,35,56
21,017,Pidgeotto,"['Normal', 'Flying']",349,63,60,55,50,50,71
22,018,Pidgeot,"['Normal', 'Flying']",479,83,80,75,70,70,101
23,018,Pidgeot,"['Normal', 'Flying']",579,83,80,80,135,80,121
24,019,Rattata,['Normal'],253,30,56,35,25,35,72
25,019,Rattata,"['Dark', 'Normal']",253,30,56,35,25,35,72
26,020,Raticate,['Normal'],413,55,81,60,50,70,97
27,020,Raticate,"['Dark', 'Normal']",413,75,71,70,40,80,77
28,021,Spearow,"['Normal', 'Flying']",262,40,60,30,31,31,70
29,022,Fearow,"['Normal', 'Flying']",442,65,90,65,61,61,100
30,023,Ekans,['Poison'],288,35,60,44,40,54,55
31,024,Arbok,['Poison'],448,60,95,69,65,79,80
32,025,Pikachu,['Electric'],320,35,55,40,50,50,90
33,025,Pikachu,['Electric'],430,45,80,50,75,60,120
34,026,Raichu,['Electric'],485,60,90,55,90,80,110
35,026,Raichu,"['Electric', 'Psychic']",485,60,85,50,95,85,110
36,027,Sandshrew,['Ground'],300,50,75,85,20,30,40
37,027,Sandshrew,"['Ice', 'Steel']",300,50,75,90,10,35,40
38,028,Sandslash,['Ground'],450,75,100,110,45,55,65
39,028,Sandslash,"['Ice', 'Steel']",450,75,100,120,25,65,65
